LANGUAGE, English, German, French

STRS_TW_dummy, "English", "German", "French"
STRS_restart, "Mission finished, it will be restarted in 15 seconds.", "Die Mission ist zu Ende und wird in 15 Sekunden neu gestartet.", "Mission Terminée, elle sera relancée dans 15 secondes."
STRS_restart2, "Mission restarted", "Mission wurde neu gestartet", "Mission relancéee"
STRS_SS_Save_Geardone, "Gear saved", "Ausrüstung gespeichert", "Armes sauvegardées"

STRS_Vote_Running, "Please wait, a voting is already in progress.", "Bitte warten, es läuft bereits eine Abstimmung.", "Patientez, vote en cours !"
STRS_Vote_Started, "You started a voting. The team has now %1 seconds to vote.", "Du hast eine Abstimmung gestartet. Dein Team hat jetzt %1 Sekunden Zeit zum Abzustimmen.", "Vous avez lancé un vote. L'équipe a %1 seconds pour voter."
STRS_Vote_Result, "Voting finished. Results: %1 Yes %2 No", "Abstimmungsergebnis: %1 Ja %2 Nein", "Vote terminé. Résultat: %1 Yes %2 No"
STRS_Vote_StartInformation, "%1 wants to mobilize the HQ. Please vote!", "%1 möchte das Hauptquartier mobilisieren. Bitte stimme ab!", "%1 veut déplacer le HQ. Merci de voter."
STRS_Vote_Yes, "Vote Yes", "Stimme mit Ja", "Voter Oui"
STRS_Vote_No, "Vote No", "Stimme mit Nein", "Voter Non"
STRS_Vote, "Vote", "Wählen", "Voter"

STRS_welcome_1, "Welcome to TeeTime's Warfare - Rexagena Edit", "Willkommen auf TeeTime's Warfare - - Rexagena Edit", "Bienvenue sur la TeeTime's Warfare - - Rexagena Edit"
STRS_welcome_2, "Capture all Cities to win this mission!", "Erobere alle Städte, um die Mission zu gewinnen.", "Capturez toutes les villes pour gagner."
STRS_welcome_3, "Increase your income by capturing and holding more cities.", "Erobere und halte mehr Städte, um Dein Einkommen zu steigern.", "Augmentez vos gains en capturant et en protégeant les villes conquises."
STRS_welcome_4, "Use mouse scroll to access the Main Menu. You have to be close to MHQ! Buy more weapons and vehicles at captured towns by using the Action Menu","Maus scroll zum öffnen das Hauptmenü. Du musst in der nähe des MHQ sein. Um in Städten zu kaufen, musst du das Action Menu verwenden!",""
STRS_welcome_end, "Good Luck and Have Fun!", "Viel Glück und viel Spaß", "Bonne chance et bon jeu"
STRS_InfoDlg_Close,"Close","Schliessen",""

STRS_kill_bonus, "You received %1$ for killing %2.", "Du hast %1$ erhalten, weil Du %2 getötet hast.", "Prime de %1$ pour avoir tué %2."
